1,2,3,4,5,6,7,8,9,Ref,11,12,13,14,15,16,17,18
670560,844880,1009520,4760,947560,2622480,81160,2828640,2996880,,670560,844880,1009520,4760,947560,5487320,3511520,6380760
1392880,1411360,1743360,18680,2817800,2649320,743360,2906360,3593760,,1392880,1411360,1743360,18680,2817800,5552240,3570640,7987240
2565160,1421240,1811040,32320,2996880,2666320,750000,3511520,3641400,,2565160,1421240,1811040,32320,2996880,5604280,3612120,8009920
2628360,1666760,2610280,81160,3593760,2701560,752360,3570640,5370280,,2628360,1666760,2610280,81160,3593760,5735400,5487320,8045240
4266640,1705400,2626480,743360,3641400,3423000,782720,3612120,5379040,,4266640,1705400,2626480,743360,3641400,6010840,5552240,8295440
6670040,1718200,2630760,750000,5370280,3447200,806040,5487320,,,6670040,1718200,2630760,750000,5370280,6315760,5604280,
9648600,1746520,2663040,752360,5379040,3466440,834520,5552240,,,9648600,1746520,2663040,752360,5379040,6380760,5735400,
9669200,2299720,2683960,782720,8066400,3497280,1425080,5604280,,,9669200,2299720,2683960,782720,8066400,7987240,6010840,
9693640,2364040,2792160,806040,9832120,3544080,,5735400,,,9693640,2364040,2792160,806040,9832120,8009920,6315760,
9707760,2541760,2828640,834520,9843160,3671680,,6010840,,,9707760,2541760,2828640,834520,9843160,8045240,6380760,
,2561160,2906360,1425080,9883600,3825160,,,,,,2561160,2906360,1425080,9883600,8295440,7987240,
,2604640,3511520,1429320,9895160,,,,,,,2604640,3511520,1429320,9895160,8727240,,
,2622480,3570640,1468200,,,,,,,,2622480,3570640,1468200,,8778000,,
,2649320,3612120,2609320,,,,,,,,2649320,3612120,2609320,,9680600,,
,2666320,5487320,2615200,,,,,,,,2666320,5487320,2615200,,,,
,2701560,5552240,2621640,,,,,,,,2701560,5552240,2621640,,,,
,3423000,5604280,2625440,,,,,,,,3423000,5604280,2625440,,,,
,3447200,5735400,2632120,,,,,,,,3447200,5735400,2632120,,,,
,3466440,6010840,2637880,,,,,,,,3466440,6010840,2637880,,,,
,3497280,6315760,2655440,,,,,,,,3497280,6315760,2655440,,,,
,3544080,6380760,2674400,,,,,,,,3544080,6380760,2674400,,,,
,3671680,7987240,2683120,,,,,,,,3671680,7987240,2683120,,,,
,3825160,8009920,2695320,,,,,,,,3825160,8009920,2695320,,,,
,4240120,8045240,2703480,,,,,,,,4240120,8045240,2703480,,,,
,4261680,8295440,2734120,,,,,,,,4261680,8295440,2734120,,,,
,4317840,8727240,3024600,,,,,,,,4317840,8727240,3024600,,,,
,,8778000,3050880,,,,,,,,,8778000,3050880,,,,
,,9680600,3057480,,,,,,,,,9680600,3057480,,,,
,,9703080,3416320,,,,,,,,,9703080,3416320,,,,
,,9707080,3458640,,,,,,,,,9707080,3458640,,,,
,,9728240,3469280,,,,,,,,,9728240,3469280,,,,
,,9767200,3503840,,,,,,,,,9767200,3503840,,,,
,,9792880,4304400,,,,,,,,,9792880,4304400,,,,
,,9897680,4318680,,,,,,,,,9897680,4318680,,,,
,,,4328960,,,,,,,,,,4328960,,,,
,,,4335240,,,,,,,,,,4335240,,,,
,,,4344880,,,,,,,,,,4344880,,,,
,,,4354960,,,,,,,,,,4354960,,,,
,,,4364880,,,,,,,,,,4364880,,,,
,,,4425360,,,,,,,,,,4425360,,,,
,,,4844240,,,,,,,,,,4844240,,,,
,,,4847800,,,,,,,,,,4847800,,,,
,,,4865800,,,,,,,,,,4865800,,,,
,,,4880040,,,,,,,,,,4880040,,,,
,,,6278600,,,,,,,,,,6278600,,,,
,,,6282320,,,,,,,,,,6282320,,,,
,,,6285800,,,,,,,,,,6285800,,,,
,,,6304720,,,,,,,,,,6304720,,,,
,,,6310960,,,,,,,,,,6310960,,,,
,,,6326640,,,,,,,,,,6326640,,,,
,,,6329200,,,,,,,,,,6329200,,,,
,,,6340640,,,,,,,,,,6340640,,,,
,,,6354120,,,,,,,,,,6354120,,,,
,,,6372720,,,,,,,,,,6372720,,,,
,,,6386160,,,,,,,,,,6386160,,,,
,,,6600080,,,,,,,,,,6600080,,,,
,,,6688320,,,,,,,,,,6688320,,,,
,,,6712960,,,,,,,,,,6712960,,,,
,,,6741480,,,,,,,,,,6741480,,,,
,,,7038200,,,,,,,,,,7038200,,,,
,,,7061680,,,,,,,,,,7061680,,,,
,,,7567920,,,,,,,,,,7567920,,,,
,,,7935120,,,,,,,,,,7935120,,,,
,,,9691160,,,,,,,,,,9691160,,,,
,,,9697720,,,,,,,,,,9697720,,,,
,,,9702600,,,,,,,,,,9702600,,,,
,,,9709720,,,,,,,,,,9709720,,,,
,,,9717160,,,,,,,,,,9717160,,,,
,,,9727520,,,,,,,,,,9727520,,,,
,,,9731040,,,,,,,,,,,,,,
,,,9738720,,,,,,,,,,,,,,
,,,9741360,,,,,,,,,,,,,,
,,,9744720,,,,,,,,,,,,,,
,,,9751000,,,,,,,,,,,,,,
,,,9776040,,,,,,,,,,,,,,
,,,9786080,,,,,,,,,,,,,,
,,,9945640,,,,,,,,,,,,,,
